,tweet_id,HBM_related,Perceived_susceptibility,Perceived_severity,Perceived_barriers,Perceived_benefits
0,1244998474195767298,0,0,0,0,0
1,1248989249808015361,0,0,0,0,0
2,1273383387433238530,0,0,0,0,0
3,1265109799823384577,1,0,0,1,0
4,1270434899024056325,0,0,0,0,0
5,1253167186727718914,0,0,0,0,0
6,1222008262654033921,0,0,0,0,0
7,1246199252511944704,0,0,0,0,0
8,1269000853073072128,0,0,0,0,0
9,1248513988654055425,1,0,0,1,0
10,1252757601420488705,0,0,0,0,0
11,1248506470032986113,1,0,0,1,0
12,1252892502648147968,0,0,0,0,0
13,1251410634182295553,1,0,0,0,1
14,1247392818600927233,0,0,0,0,0
15,1263932565838323713,1,0,0,0,1
16,1261294537730854912,0,0,0,0,0
17,1249407636031799298,1,0,0,0,1
18,1273677804333219841,1,0,0,1,0
19,1264277946631704581,0,0,0,0,0
20,1268649283844280320,1,0,0,1,0
21,1268649283844280320,1,0,0,1,0
22,1268649283844280320,1,0,0,1,0
23,1268649283844280320,1,0,0,1,0
24,1274330636057100288,1,0,0,1,0
25,1268216518900363265,0,0,0,0,0
26,1247209408729427969,1,0,0,0,1
27,1247209408729427969,1,0,0,0,1
28,1259098811940712448,0,0,0,0,0
29,1265840891354402818,0,0,0,0,0
30,1247346528873615362,0,0,0,0,0
31,1223024636583002112,0,0,0,0,0
32,1265121145700794368,0,0,0,0,0
33,1245200841264361472,0,0,0,0,0
34,1273329835939491840,0,0,0,0,0
35,1247592998499565570,0,0,0,0,0
36,1247002579797553153,1,0,0,1,0
37,1242322419945267202,1,0,0,1,1
38,1268923686737739776,1,0,0,1,0
39,1266423561763184640,1,0,0,0,1
40,1224854556292587521,0,0,0,0,0
41,1263298425078140928,0,0,0,0,0
42,1242606243568668679,0,0,0,0,0
43,1247903289443635202,1,0,0,1,0
44,1245000284881006593,0,0,0,0,0
45,1272187629249970176,0,0,0,0,0
46,1247697802140045312,1,0,0,1,0
47,1245601921995436032,0,0,0,0,0
48,1268801584911183872,1,0,0,1,0
49,1240728538740899842,0,0,0,0,0
50,1253717430192558082,1,0,1,1,1
51,1244860741217329154,1,1,1,0,0
52,1252736646484619265,0,0,0,0,0
53,1250592778221912064,0,0,0,0,0
54,1240443828466847745,0,0,0,0,0
55,1258616251351314439,0,0,0,0,0
56,1262908272295776257,1,0,0,0,1
57,1262908272295776257,1,0,0,0,1
58,1262908272295776257,1,0,0,0,1
59,1262908272295776257,1,0,0,0,1
60,1262908272295776257,1,0,0,0,1
61,1251583200628899840,0,0,0,0,0
62,1272796163239018496,1,0,0,1,0
63,1272796163239018496,1,0,0,1,0
64,1272796163239018496,1,0,0,1,0
65,1265633313324257281,0,0,0,0,0
66,1263915401420947456,0,0,0,0,0
67,1270633702012272641,0,0,0,0,0
68,1252104580248338433,0,0,0,0,0
69,1252104580248338433,1,0,0,0,1
70,1272659212729044992,1,0,0,1,0
71,1247968748805459970,0,0,0,0,0
72,1272158963987918849,1,1,0,0,0
73,1250542136644206596,0,0,0,0,0
74,1244409203386703873,1,0,0,0,1
75,1244625125556789254,1,0,1,0,0
76,1266205465974890499,1,0,1,0,0
77,1262940280828956672,1,0,0,1,0
78,1247218422066208768,1,0,1,0,0
79,1262609749218033664,1,0,0,1,0
80,1247528310172569608,1,0,0,1,0
81,1262892056269242379,0,0,0,0,0
82,1273566404717842439,0,0,0,0,0
83,1264038951150473216,0,0,0,0,0
84,1257960681665593345,1,1,0,0,0
